running time, rating, release date, studio, movie title, gross earnings, year
93,PG,6/8/2012,Paramount / DreamWorks,Madagascar 3: Europe's Most Wanted,746921274,2012,
106,PG-13,5/25/2012,Columbia,Men in Black 3,624026776,2012,
143,PG-13,11/9/2012,MGM / Columbia,Skyfall,1108561013,2012,
136,PG-13,7/3/2012,Columbia,The Amazing Spider-Man,757930663,2012,
143,PG-13,5/4/2012,Marvel Studios,The Avengers,1518594910,2012,
165,PG-13,7/20/2012,Warner Bros. / Legendary,The Dark Knight Rises,1084439099,2012,
169,PG-13,12/14/2012,Warner Bros. / MGM / New Line,The Hobbit: An Unexpected Journey,1017003568,2012,
142,PG-13,3/23/2012,Lionsgate,The Hunger Games,691247768,2012,
115,PG-13,11/16/2012,Lionsgate / Summit,The Twilight Saga: Breaking Dawn - Part 2,829685377,2012,
106,G,6/24/2011,Walt Disney Pictures / Pixar,Cars 2,559852396,2011,
131,PG-13,4/29/2011,Universal,Fast Five,626137675,2011,
130,PG-13,7/15/2011,Warner Bros.,Harry Potter and the Deathly Hallows - Part 2,1341511219,2011,
91,PG,5/26/2011,Paramount / DreamWorks,Kung Fu Panda 2,665692281,2011,
133,PG-13,12/21/2011,Paramount,Mission: Impossible - Ghost Protocol,694713380,2011,
136,PG-13,5/20/2011,Walt Disney Pictures,Pirates of the Caribbean: On Stranger Tides,1045713802,2011,
102,R,5/26/2011,Warner Bros.,The Hangover Part II,586764305,2011,
103,PG,7/29/2011,Columbia / Sony Pictures,The Smurfs,563749323,2011,
117,PG-13,11/18/2011,Summit,The Twilight Saga: Breaking Dawn - Part 1,712171856,2011,
154,PG-13,6/29/2011,Paramount,Transformers: Dark of the Moon,1123794079,2011,
108,PG,3/5/2010,Walt Disney Pictures,Alice in Wonderland,1025467110,2010,
95,PG,7/9/2010,Universal / Illumination,Despicable Me,543113985,2010,
146,PG-13,11/19/2010,Warner Bros.,Harry Potter and the Deathly Hallows - Part 1,960283305,2010,
98,PG,3/26/2010,Paramount / DreamWorks,How to Train Your Dragon,494878759,2010,
148,PG-13,7/16/2010,Warner Bros. / Legendary,Inception,825531030,2010,
124,PG-13,5/7/2010,Paramount / Marvel,Iron Man 2,623933331,2010,
93,PG,5/21/2010,Paramount / DreamWorks,Shrek Forever After,752600867,2010,
100,PG,11/24/2010,Disney,Tangled,591794936,2010,
124,PG-13,6/30/2010,Summit Entertainment,The Twilight Saga: Eclipse,698491347,2010,
103,G,6/18/2010,Walt Disney Pictures / Pixar,Toy Story 3,1063171911,2010,
