running time, rating, release date, studio, movie title, gross earnings, year
113,PG,6/20/1986,Columbia Pictures,The Karate Kid Part II,115103979,1986,
110,PG,5/16/1986,Paramount Pictures,Top Gun,176781728,1986,
116,PG,7/3/1985,Universal Pictures / Amblin Entertainment,Back to the Future,210609762,1985,
117,PG-13,6/21/1985,20th Century Fox,Cocoon,85313124,1985,
161,PG,12/20/1985,Universal Pictures,Out Of Africa,87071205,1985,
96,R,5/22/1985,TriStar Pictures / Carolco,Rambo: First Blood Part II,150415432,1985,
91,PG,11/27/1985,United Artists,Rocky IV,127873716,1985,
102,PG,12/6/1985,Warner Bros.,Spies Like Us,60088980,1985,
154,PG-13,2/7/1986,Warner Bros.,The Color Purple,94175854,1985,
114,PG,6/7/1985,Warner Bros.,The Goonies,61389680,1985,
106,PG,12/11/1985,20th Century Fox,The Jewel of the Nile,75973200,1985,
112,R,2/8/1985,Paramount Pictures,Witness,68706993,1985,
105,R,12/5/1984,Paramount Pictures,Beverly Hills Cop,234760478,1984,
107,R,2/17/1984,Paramount Pictures,Footloose,80035402,1984,
105,PG,6/8/1984,Columbia Pictures,Ghostbusters,238632124,1984,
106,PG,6/8/1984,Warner Bros.,Gremlins,153083102,1984,
118,PG,5/23/1984,Paramount Pictures / Lucasfilm,Indiana Jones and the Temple of Doom,179870271,1984,
96,R,3/23/1984,Warner Bros. / The Ladd Company,Police Academy,81198894,1984,
106,PG,3/30/1984,20th Century Fox,Romancing the Stone,78371200,1984,
105,PG,6/1/1984,Paramount Pictures,Star Trek III: The Search for Spock,76572238,1984,
126,PG,6/22/1984,Columbia Pictures,The Karate Kid,90815558,1984,
107,R,10/26/1984,Orion Pictures,The Terminator,78400000,1984,
95,R,4/15/1983,Paramount Pictures / PolyGram,Flashdance,92921203,1983,
91,PG,8/19/1983,20th Century Fox,Mr. Mom,64783827,1983,
131,PG,6/10/1983,United Artists,Octopussy,67800000,1983,
99,R,8/5/1983,Warner Bros.,Risky Business,63541777,1983,
134,PG,5/25/1983,Lucasfilm / 20th Century Fox,Star Wars Episode VI: Return of the Jedi,252583617,1983,
93,PG,7/15/1983,Paramount Pictures,Staying Alive,64892670,1983,
117,R,12/9/1983,Warner Bros.,Sudden Impact,67642693,1983,
132,R,12/9/1983,Paramount Pictures,Terms of Endearment,108423489,1983,
116,R,6/8/1983,Paramount Pictures,Trading Places,90404800,1983,
114,PG,6/3/1983,United Artists,WarGames,79567667,1983,
96,R,12/8/1982,Paramount Pictures,48 Hrs.,78868508,1982,
124,R,8/13/1982,Paramount Pictures / Lorimar,An Officer and a Gentleman,129795554,1982,
127,PG,6/18/1982,Columbia Pictures / Rastar,Annie,57059003,1982,
115,PG,6/11/1982,Universal Pictures,E.T. the Extra-Terrestrial,359197037,1982,
114,PG,6/4/1982,Metro-Goldwyn-Mayer,Poltergeist,76606280,1982,
94,R,3/19/1982,20th Century Fox,Porky's,105492483,1982,
99,PG,5/28/1982,United Artists,Rocky III,124146897,1982,
113,PG,6/4/1982,Paramount Pictures,Star Trek II: The Wrath of Khan,78912963,1982,
114,R,7/23/1982,Universal Pictures / RKO Pictures,The Best Little Whorehouse in Texas,69701637,1982,
116,PG,12/17/1982,Columbia Pictures,Tootsie,177200000,1982,
97,PG,7/17/1981,Orion Pictures / Warner Bros.,Arthur,95461682,1981,
119,PG,4/9/1982,Warner Bros. / Ladd,Chariots of Fire,58972904,1981,
127,PG,6/26/1981,United Artists,For Your Eyes Only,54812802,1981,
109,PG,2/12/1982,Universal Pictures / ITC,On Golden Pond,119285432,1981,
115,PG,6/12/1981,Paramount Pictures / Lucasfilm,Raiders of the Lost Ark,212222025,1981,
106,R,6/26/1981,Columbia Pictures,Stripes,85297000,1981,
127,PG,6/19/1981,Warner Bros.,Superman II,108185706,1981,
95,PG,6/19/1981,20th Century Fox / Golden Harvest,The Cannonball Run,72179579,1981,
107,PG,5/22/1981,Universal Pictures,The Four Seasons,50427646,1981,
110,PG,11/6/1981,Embassy Pictures,Time Bandits,42365581,1981,
110,PG,12/19/1980,20th Century-Fox,9 to 5,103290500,1980,
88,PG,7/2/1980,Paramount Pictures,Airplane!,83453539,1980,
116,PG,12/17/1980,Warner Bros. Pictures,Any Which Way You Can,70687344,1980,
124,PG,3/7/1980,Universal Studios,Coal Miner's Daughter,67182787,1980,
109,R,10/10/1980,Warner Bros.,Private Benjamin,69847348,1980,
100,PG,8/15/1980,Universal Studios,Smokey and the Bandit II,66132626,1980,
124,PG,6/20/1980,20th Century Fox,Star Wars Episode V: The Empire Strikes Back,209398025,1980,
111,R,12/12/1980,Columbia Pictures,Stir Crazy,101300000,1980,
104,R,7/2/1980,Columbia Pictures,The Blue Lagoon,58853106,1980,
133,R,6/20/1980,Universal Studios,The Blues Brothers,57229890,1980,
122,R,10/5/1979,Warner Bros. Pictures,10,74865517,1979,
117,R,6/22/1979,20th Century Fox Film Corporation,Alien,80931801,1979,
153,R,8/15/1979,United Artists Pictures,Apocalypse Now,83471511,1979,
105,PG-13,12/19/1979,Columbia Pictures,Kramer vs. Kramer,106260000,1979,
126,PG,6/29/1979,United Artists Pictures,Moonraker,70308099,1979,
119,PG,6/15/1979,United Artists Pictures,Rocky II,85182160,1979,
132,PG,12/7/1979,Paramount Pictures,Star Trek: The Motion Picture,82258456,1979,
117,R,7/27/1979,American International Pictures,The Amityville Horror,86432520,1979,
94,R,12/14/1979,Universal Studios,The Jerk,73691419,1979,
95,G,6/22/1979,Associated Film Distribution,The Muppet Movie,65200000,1979,
127,R,5/24/1979,United Film Distribution Company,Dawn of the Dead,59020957,1978,
114,PG,12/20/1978,Warner Bros.,Every Which Way but Loose,85196485,1978,
110,PG-13,6/16/1978,Paramount Pictures,Grease,159978870,1978,
101,PG,6/28/1978,Paramount Pictures,Heaven Can Wait,81640278,1978,
99,PG,7/28/1978,Warner Bros.,Hooper,78000000,1978,
116,PG,6/16/1978,Universal Pictures,Jaws 2,77737272,1978,
109,R,7/28/1978,Universal Pictures,National Lampoon's Animal House,120091123,1978,
99,PG,7/19/1978,United Artists,Revenge of the Pink Panther,49579269,1978,
143,PG,12/15/1978,Warner Bros.,Superman,134218018,1978,
182,R,2/23/1979,Universal Pictures,The Deer Hunter,48979328,1978,
175,PG,6/15/1977,United Artists,A Bridge Too Far,50750000,1977,
93,PG,4/20/1977,United Artists,Annie Hall,38251425,1977,
137,PG,12/25/1977,Columbia Pictures,Close Encounters of the Third Kind,116395460,1977,
98,PG,10/7/1977,Warner Bros.,Oh God!,51061196,1977,
118,R,12/16/1977,Paramount Pictures,Saturday Night Fever,94213184,1977,
96,PG,5/27/1977,Universal Pictures,Smokey and the Bandit,126737428,1977,
121,PG,5/25/1977,Lucasfilm / 20th Century Fox,Star Wars,307263857,1977,
123,PG,6/17/1977,Columbia Pictures,The Deep,47346365,1977,
111,PG,2/1/1978,Metro-Goldwyn-Mayer / Warner Bros. / Rastar,The Goodbye Girl,102000000,1977,
125,PG,8/3/1977,United Artists,The Spy Who Loved Me,46838673,1977,
139,R,12/17/1976,Warner Bros. Pictures,A Star Is Born,80000000,1976,
138,R,4/9/1976,Warner Bros. Pictures,All the President's Men,70600000,1976,
99,G,2/11/1977,Sunn Classic Pictures,In Search of Noah's Ark,55700000,1976,
134,PG,12/17/1976,Paramount Pictures,King Kong,52614445,1976,
132,PG,6/18/1976,Universal Studios / Cinema International Corporation,Midway,43220000,1976,
119,PG,12/3/1976,United Artists Pictures,Rocky,117235147,1976,
114,PG,12/3/1976,20th Century-Fox Film Corporation,Silver Streak,51079064,1976,
96,R,12/22/1976,Warner Bros. Pictures,The Enforcer,46236000,1976,
111,R,6/25/1976,20th Century Fox Film Corporation,The Omen,60922980,1976,
27,G,6/19/1981,National Air and Space Museum,To Fly!,86600000,1976,
88,PG,4/29/1975,Columbia Pictures,Aloha Bobby and Rose,35000000,1975,
125,R,9/21/1975,Warner Bros.,Dog Day Afternoon,50000000,1975,
136,PG,3/15/1975,Columbia Pictures,Funny Lady,39000000,1975,
109,R,3/13/1975,Columbia Pictures,Shampoo,49407734,1975,
100,G,7/1/1975,Walt Disney Productions,The Apple Dumpling Gang,36853000,1975,
103,PG,12/20/1975,Universal Pictures,The Other Side of the Mountain,34673100,1975,
113,G,5/21/1975,United Artists,The Return of the Pink Panther,41833347,1975,
